City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hermanus,-34.4187,19.2345,19.33,82,0,5.14,ZA,1670613556
1,hualmay,-11.0964,-77.6139,22.18,70,22,4.53,PE,1670613556
2,may pen,17.9645,-77.2451,30.56,48,35,2.61,JM,1670613557
3,yellowknife,62.456,-114.3525,-17.71,78,100,3.6,CA,1670613557
4,leshukonskoye,64.8989,45.7622,-12.32,94,100,3.84,RU,1670613558
5,valparaiso,-33.0393,-71.6273,28.13,76,0,7.2,CL,1670613408
6,ushuaia,-54.8,-68.3,9.81,62,40,2.06,AR,1670613559
7,mitsamiouli,-11.3847,43.2844,27.2,71,9,1.77,KM,1670613560
8,hobart,-42.8794,147.3294,10.92,88,100,2.06,AU,1670613333
9,provideniya,64.3833,-173.3,-2.25,77,88,10.17,RU,1670613560
10,nikolskoye,59.7035,30.7861,-1.06,92,91,3.46,RU,1670613560
11,egvekinot,66.3167,-179.1667,-13.89,97,100,1.41,RU,1670613561
12,bredasdorp,-34.5322,20.0403,20.73,71,0,4.3,ZA,1670613561
13,yumen,40.2833,97.2,-9.0,63,97,8.91,CN,1670613562
14,castro,-24.7911,-50.0119,29.5,46,1,0.78,BR,1670613434
15,upernavik,72.7868,-56.1549,0.74,79,100,9.06,GL,1670613563
16,rikitea,-23.1203,-134.9692,24.38,80,10,6.87,PF,1670613563
17,marsassoum,12.8275,-15.9806,29.1,51,38,4.4,SN,1670613564
18,bubaque,11.2833,-15.8333,27.38,77,3,6.66,GW,1670613564
19,acurenam,1.0322,10.6488,22.28,83,85,0.56,GQ,1670613565
20,shelburne,44.0787,-80.2041,-1.54,86,6,4.66,CA,1670613565
21,georgetown,5.4112,100.3354,25.96,88,20,3.6,MY,1670613298
22,solnechnyy,50.7214,136.6319,-16.12,94,97,0.66,RU,1670613566
23,albany,42.6001,-73.9662,4.26,51,3,1.34,US,1670613566
24,west wendover,40.7391,-114.0733,-0.44,86,100,1.54,US,1670613566
25,pisco,-13.7,-76.2167,25.03,57,0,8.23,PE,1670613567
26,mackay,-21.15,149.2,25.93,75,75,3.13,AU,1670613568
27,dandong,40.1292,124.3947,-3.9,65,100,2.12,CN,1670613568
28,punta arenas,-53.15,-70.9167,13.01,66,75,5.14,CL,1670613403
29,avarua,-21.2078,-159.775,25.03,88,100,4.63,CK,1670613569
30,katsuura,35.1333,140.3,10.86,81,97,3.78,JP,1670613569
31,awjilah,29.1081,21.2869,19.08,46,0,3.17,LY,1670613570
32,kourou,5.1552,-52.6478,28.03,73,80,2.94,GF,1670613570
33,adwa,14.1646,38.8955,17.35,63,17,2.02,ET,1670613571
34,sabang,5.8933,95.3214,26.36,79,100,5.11,ID,1670613571
35,mahebourg,-20.4081,57.7,25.16,73,75,4.12,MU,1670613571
36,fairbanks,64.8378,-147.7164,-10.02,84,100,5.14,US,1670613300
37,butaritari,3.0707,172.7902,27.5,78,36,8.72,KI,1670613572
38,kapaa,22.0752,-159.319,26.18,65,75,7.72,US,1670613572
39,ilulissat,69.2167,-51.1,5.01,38,75,5.66,GL,1670613573
40,sorong,-0.8833,131.25,24.93,90,100,1.1,ID,1670613573
41,chase,50.8165,-119.6857,-1.07,89,69,1.24,CA,1670613574
42,port elizabeth,-33.918,25.5701,22.83,92,20,11.32,ZA,1670613574
43,kupang,-10.1667,123.5833,25.62,77,100,1.67,ID,1670613574
44,cherskiy,68.75,161.3,-30.2,98,100,2.23,RU,1670613575
45,atuona,-9.8,-139.0333,24.76,75,22,3.8,PF,1670613575
46,tiruchchirappalli,10.8167,78.6833,23.06,73,75,4.12,IN,1670613576
47,mollendo,-17.0231,-72.0147,19.81,87,100,2.14,PE,1670613576
48,atbasar,51.8,68.3333,-17.02,91,77,3.03,KZ,1670613577
49,krasnoselkup,65.7,82.4667,-26.08,97,100,1.82,RU,1670613577
50,ko samui,9.5357,99.9357,26.7,75,100,1.42,TH,1670613577
51,bambous virieux,-20.3428,57.7575,25.14,73,75,4.12,MU,1670613578
52,rocha,-34.4833,-54.3333,40.14,16,8,2.82,UY,1670613578
53,taoudenni,22.6783,-3.9836,28.34,12,9,2.53,ML,1670613579
54,oshikango,-17.4,15.8833,28.88,25,83,1.8,NA,1670613579
55,santander jimenez,24.2167,-98.4667,29.28,45,0,4.89,MX,1670613579
56,conceicao da barra,-18.5933,-39.7322,27.55,77,45,2.57,BR,1670613580
57,souillac,-20.5167,57.5167,25.21,73,75,4.12,MU,1670613580
58,port augusta,-32.5,137.7667,23.52,24,100,2.88,AU,1670613581
59,vaini,-21.2,-175.2,25.09,94,75,4.12,TO,1670613582
60,verkhnetulomskiy,68.6073,31.7962,-8.93,82,100,5.34,RU,1670613582
61,okhotsk,59.3833,143.3,-30.45,83,82,4.46,RU,1670613582
62,rio gallegos,-51.6226,-69.2181,13.97,38,100,7.76,AR,1670613583
